ĒDENES <[n,p,f,s,g,5],'ēdene','apzīmētājs'>
nebija <[v,c,n,i,s,i,i,3,0,a,y],'nebūt',''>
īsti <[r,_,q],'īsti','mēra apstāklis'>
droša <[a,_,f,s,n,n,p],'droša',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
tam <[p,d,0,m,s,d,[s]],'tas','netiešais papildinātājs multi'>
piekrīt <[v,m,n,i,p,_,1,3,0,a,n],'piekrist','izteicējs'>
. <[z,s],'.',''>
Pie <[s,p,s,g,[y]],'pie',''>
lielā <[a,f,m,s,g,y,p],'liels',''>
Pārtikas <[n,c,f,s,g,4],'pārtika',''>
centra <[n,c,m,s,g,1],'centrs',''>
viņas <[p,p,3,f,p,n,[0]],'viņa',''>
šķīrās <[v,m,y,i,s,i,1,3,0,_,n],'šķirties',''>
. <[z,s],'.',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
dzīvoja <[v,m,n,i,s,t,2,3,0,a,n],'dzīvot',''>
kāda <[p,i,0,f,s,n,[0]],'kāda',''>
savrupmāju <[n,c,f,p,g,4],'savrupmāja',''>
apbūves <[n,c,f,s,g,5],'apbūve',''>
rajona <[n,c,m,s,g,1],'rajons',''>
viņā <[p,d,3,m,s,l,n,[0]],'viņš',''>
galā <[n,c,m,s,l,1],'gals',''>
, <[z,c],',',''>
kas <[p,r,0,0,0,n,[0]],'kas',''>
iesniedzās <[v,m,y,i,s,t,1,3,0,_,n],'iesniegties',''>
piepilsētas <[n,c,f,s,g,4],'piepilsēta',''>
mežu <[n,c,m,p,g,1],'mežs',''>
joslā <[n,c,f,s,l,4],'josla',''>
. <[z,s],'.',''>
Tādēļ <[r,_,c],'tādēļ',''>
ceļš <[n,c,m,s,n,1],'ceļš',''>
uz <[s,p,s,a,[y]],'uz',''>
skolu <[n,c,f,s,a,4],'skola',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
gandrīz <[r,_,q],'gandrīz',''>
divtik <[r,_,q],'divtik',''>
garš <[a,_,m,s,n,n,_],'garš',''>
kā <[q,s],'kā',''>
Jūrunai <[n,p,f,s,d,4],'jūruna',''>
. <[z,s],'.',''>
Sofijas <[n,p,f,s,g,4],'sofija',''>
māja <[n,c,f,s,n,4],'māja',''>
atradās <[v,m,y,i,s,i,1,3,0,_,n],'atrasties',''>
tikpat <[r,_,_],'tikpat',''>
kā <[r,_,m],'kā',''>
pasaules <[n,c,f,s,g,5],'pasaule',''>
malā <[n,c,f,s,l,4],'mala',''>
, <[z,c],',',''>
jo <[c,s,s],'jo',''>
aiz <[s,p,s,g,[y]],'aiz',''>
tās <[p,d,0,f,s,g,[s]],'tā',''>
dārza <[n,c,m,s,g,1],'dārzs',''>
citu <[p,i,0,m,p,g,[0]],'cits',''>
māju <[n,c,f,p,g,4],'māja',''>
vairs <[r,_,_],'vairs',''>
nebija <[v,g,n,i,s,i,i,3,0,a,y],'nebūt',''>
. <[z,s],'.',''>
Tur <[r,_,p],'tur','vietas apstāklis multi'>
sākās <[v,m,y,i,s,i,1,3,0,_,n],'sākties','izteicējs'>
dziļš <[a,f,m,s,n,n,p],'dziļš','apzīmētājs'>
mežs <[n,c,m,s,n,1],'mežs','teikuma priekšmets'>
. <[z,s],'.',''>
Beidzot <[r,_,t],'beidzot','laika apstāklis multi'>
viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
iegriezās <[v,m,y,i,s,_,1,3,0,_,n],'iegriezties','izteicējs'>
Āboliņa <[n,c,m,s,g,1],'āboliņš','apzīmētājs'>
ceļā <[n,c,m,s,l,1],'ceļš','vietas apstāklis multi'>
. <[z,s],'.',''>
Ceļa <[n,c,m,s,g,1],'ceļš',''>
galā <[n,c,m,s,l,1],'gals',''>
bija <[v,m,n,i,s,i,i,3,0,a,n],'būt',''>
spējš <[a,_,m,s,n,n,_],'spējš',''>
pagrieziens <[n,c,m,s,n,1],'pagrieziens',''>
, <[z,c],',',''>
kuru <[p,r,0,m,s,a,[0]],'kurš',''>
mēdza <[v,o,n,i,s,t,1,3,0,a,n],'mēgt',''>
saukt <[v,m,n,n,0,t,1,0,0,0,n],'saukt',''>
par <[s,p,s,a,[n]],'par',''>
Kapteiņa <[n,c,m,s,g,2],'kapteinis',''>
loku <[n,c,m,s,a,1],'loks'>
. <[x],'.',''>
Cilvēkus <[n,c,m,p,a,1],'cilvēks',''>
te <[r,_,p],'te',''>
redzēja <[v,m,n,i,s,t,3,3,0,a,n],'redzēt',''>
staigājam <[v,m,n,p,u,0,0,0,0,0,0],'staigāt',''>
vienīgi <[r,_,_],'vienīgi',''>
sestdienās <[n,c,f,p,l,4],'sestdiena',''>
un <[c,c,s],'un',''>
svētdienās <[n,c,f,p,l,4],'svētdiena',''>
. <[z,s],'.',''>
nomināls_izteicējs <,'','izteicējs'>
Bija <[v,m,n,i,s,i,i,3,0,a,n],'būt',''>
maija <[n,c,m,s,g,1],'maijs','apzīmētājs'>
sākums <[n,c,m,s,n,1],'sākums',''>
. <[z,s],'.',''>
Dažos <[p,i,0,m,p,l,[0]],'dažs','apzīmētājs'>
dārzos <[n,c,m,p,l,1],'dārzs',''>
visaplīk <[r,r,p],'visaplīk',''>
augļu <[n,c,m,p,g,2],'auglis','apzīmētājs'>
kokiem <[n,c,m,p,d,1],'koks','apstāklis'>
pumpuru <[n,c,m,p,g,1],'pumpurs','apzīmētājs'>
vainagus <[n,c,m,p,a,1],'vainags','tiešais papildinātājs'>
raisīja <[v,m,n,i,s,t,3,3,0,a,n],'raisīt','izteicējs'>
narcises <[n,c,f,p,n,5],'narcise','teikuma priekšmets'>
. <[z,s],'.',''>
Bērzi <[n,c,m,p,n,1],'bērzs',''>
izteicējs <,'',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
ietērpušies <[v,m,y,p,d,m,p,n,a,s,n],'ietērpties',''>
vieglos <[a,_,m,p,l,n,p],'viegls',''>
zaļa <[a,f,m,s,g,n,p],'zaļš','apzīmētājs'>
plīvura <[n,c,m,s,g,1],'plīvurs','apzīmētājs'>
mēteļos <[n,c,m,p,l,2],'mētelis',''>
. <[z,s],'.',''>
Vai <[q,s],'vai',''>
nav <[v,g,n,i,p,i,i,3,0,a,y],'būt',''>
savādi <[r,_,_],'savādi',''>
, <[z,c],',',''>
kā <[c,s,s],'kā',''>
viss <[p,g,0,m,s,n,[0]],'viss',''>
sāk <[v,p,n,i,p,t,1,3,0,a,n],'sākt',''>
briest <[v,m,n,n,0,i,1,0,0,0,n],'briest',''>
un <[c,c,s],'un',''>
augt <[v,m,n,n,0,i,1,0,0,0,n],'augt',''>
šajā <[p,d,0,m,s,l,[s]],'šis',''>
gadalaikā <[n,c,m,s,l,1],'gadalaiks',''>
? <[z,s],'?',''>
Kas <[p,q,0,0,0,n,[0]],'kas',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
tas <[p,d,3,m,s,n,[s]],'tas',''>
, <[z,c],',',''>
kas <[p,r,0,0,0,n,[0]],'kas',''>
liek <[v,m,n,i,p,t,1,3,0,a,n],'likt',''>
zaļajai <[a,_,f,s,d,y,p],'zaļa',''>
augu <[n,c,m,p,g,1],'augs',''>
vielai <[n,c,f,s,d,4],'viela',''>
kilogramiem <[n,c,m,p,d,1],'kilograms',''>
vien <[q,s],'vien',''>
celties <[v,m,y,n,0,t,1,0,0,0,n],'celties',''>
un <[c,c,s],'un',''>
velties <[v,m,y,n,0,i,1,0,0,0,n],'velties',''>
no <[s,p,s,g,[y]],'no',''>
nedzīvās <[a,_,f,s,g,y,p],'nedzīva',''>
zemes <[n,c,f,s,g,5],'zeme',''>
augšup <[r,_,p],'augšup',''>
, <[z,c],',',''>
tiklīdz <[c,s,s],'tiklīdz',''>
laiks <[n,c,m,s,n,1],'laiks',''>
kļūst <[v,m,n,i,p,t,1,3,0,a,n],'kļūt',''>
siltāks <[a,_,m,s,n,n,c],'silts',''>
un <[c,c,s],'un',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
izzudušas <[v,m,n,p,d,f,p,n,a,s,n], 'izzust',''>
pēdējās <[a,r,f,p,y,p],'pēdējā'>
sniega <[n,c,m,s,g,1],'sniegs',''>
pēdas <[n,c,f,p,n,4],'pēda',''>
? <,'',''>
Tiklīdz <[c,s,s],'tiklīdz',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
aizvērusi <[v,m,n,p,d,f,s,n,a,s,n],'aizvērt',''>
aiz <[s,p,s,g,[y]],'aiz',''>
sevis <[p,x,0,0,0,g,[0]],'sevis',''>
dārza <[n,c,m,s,g,1],'dārzs',''>
vārtiņus <[n,c,m,p,a,1],'vārtiņš',''>
, <[z,c],',',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
atvēra <[v,m,n,i,s,t,1,3,0,a,n],'atvērt',''>
aploksni <[n,c,f,s,a,5],'aploksne',''>
. <[z,s],'.',''>
Vienīgais <[a,r,m,s,n,y,p],'vienīgais',''>
, <[z,c],'',''>
ko <[p,r,0,0,0,a,n,[0]],'kas',''>
viņa <[p,p,3,f,s,n,[s]],'viņš',''>
tajā <[p,d,0,f,s,l,[s]],'tas',''>
atrada <[v,m,n,i,s,t,1,3,0,a,n],'atrast',''>
, <[z,c],'',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
maza <[a,f,f,s,n,n,p],'maza',''>
zīmīte <[n,c,f,s,n,5],'zīmīte',''>
, <[z,c],'',''>
ne <q,s,'ne',''>
lielāka <[a,f,f,s,n,n,c],'liela',''>
par <[s,p,s,a,[n]],'par',''>
aploksni <[n,c,f,s,a,5],'aploksne',''>
, <[z,c],'',''>
kurā <[p,r,0,f,s,l,[0]],'kura',''>
tā <[p,d,3,f,s,n,n,[s]],'tā',''>
atradās <[v,m,y,i,s,i,1,3,0,a,n],'atrasties',''>
. <[z,s],'',''>
Zīmītē <[n,c,f,s,l,5],'zīmīte',''>
stāvēja <[v,m,n,i,s,t,3,3,0,a,n],'stāvēt',''>
rakstīts <[v,m,n,p,d,m,s,n,p,s,n],'rakstīts',''>
: <[z,o],':',''>
Kas <[p,q,0,0,0,n,[0]],'kas',''>
tu <[p,p,2,0,s,n,[0]],'tu','teikuma priekšmets'>
esi <[v,m,n,i,p,i,i,2,s,a,n],'būt','izteicējs'>
? <[z,s],'?',''>
Nekā <[p,z,0,m,s,g,[0]],'nekas',''>
vairāk <[r,_,_],'vairāk',''>
tur <[r,_,p],'tur',''>
nebija <[v,g,n,i,s,i,i,3,0,a,y],'nebūt',''>
. <[z,s],'.',''>
Nebija <[v,g,n,i,s,i,i,3,0,a,y],'nebūt',''>
ne <[c,c,r],'ne',''>
uzrunas <[n,c,f,s,g,4],'uzruna',''>
, <[z,c],',',''>
ne <[c,c,r],'ne',''>
sveiciena <[n,_,m,s,g,_],'sveiciens',''>
, <[z,c],',',''>
ne <[c,c,r],'ne',''>
paraksta <[n,c,m,s,g,1],'paraksts',''>
, <[z,c],',',''>
tikai <[q,s],'tikai',''>
šie <[p,d,0,m,p,n,[s]],'šis',''>
trīs <[m,c,s,f,p,n,n,[v]],'trīs',''>
ar <[s,p,s,a,[n]],'ar',''>
roku <[n,c,f,s,a,4],'roka',''>
rakstītie <[v,m,n,p,d,m,p,n,p,s,y],'rakstīts',''>
vārdi <[n,c,m,p,n,1],'vārds',''>
un <[c,c,s],'un',''>
galā <[n,c,m,s,l,1],'gals',''>
liela <[a,_,f,s,n,n,p],'liela',''>
jautājuma <[n,c,m,s,g,1],'jautājums',''>
zīme <[n,c,f,s,n,5],'zīme',''>
. <[z,s],'.',''>
Viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
vēlreiz <[r,_,t],'vēlreiz','laika apstāklis multi'>
aplūkoja <[v,m,n,i,s,t,2,3,0,a,n],'aplūkot','izteicējs'>
aploksni <[n,c,f,s,a,5],'aploksne','tiešais papildinātājs'>
. <[z,s],'.',''>
Jā <[q,s],'jā',''>
gan <[q,s],'gan',''>
— <[z,d],'—',''>
vēstule <[n,c,f,s,n,5],'vēstule',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
adresēta <[v,m,n,p,d,f,s,n,p,s,n],'adresēta',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
. <[z,s],'.',''>
Bet <[c,c,s],'bet',''>
kas <[p,q,0,0,0,n,[0]],'kas',''>
to <[p,d,3,f,s,a,[s]],'tā',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
iemetis <[v,m,n,p,d,m,s,n,a,s,n],'iemest',''>
vēstuļkastē <[n,c,f,s,l,5],'vēstuļkaste',''>
? <[z,s],'?',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
aši <[r,_,_],'aši',''>
ieslēdzās <[v,m,y,i,s,i,1,3,0,a,n],'ieslēgties',''>
savā <[p,s,0,f,s,l,[0]],'sava',''>
sarkanajā <[a,f,f,l,y,p],'sarkana',''>
mājā <[n,c,f,l,4],'māja',''>
. <,'',''>
Kā <[q,s],'kā',''>
parasti <[r,_,m],'parasti',''>
, <[z,c],',',''>
runcis <[n,c,m,s,n,2],'runcis',''>
Šerekāns <[n,p,m,s,n,1],'šerekāns',''>
izlīda <[v,m,n,i,s,_,1,3,0,a,n],'izlīst',''>
no <[s,p,p,d,[y]],'no',''>
krūmiem <[n,c,m,p,d,1],'krūms',''>
, <[z,c],',',''>
pārlēca <[v,m,n,i,s,i,1,3,0,a,n],'pārlēkt',''>
trepju <[n,c,f,p,g,5],'trepes',''>
pakāpieniem <[n,c,m,p,d,1],'pakāpiens',''>
un <[c,c,s],'',''>
veikli <r,_,m],'',''>
ielavījās <[v,m,y,i,s,i,3,3,0,a,n],'ielavīties',''>
iekšā <[r,_,p],'iekšā',''>
, <,'',''>
pirms <[c,s,s],'pirms',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
paspēja <[v,o,n,i,s,t,1,3,0,a,n],'paspēt',''>
aizvērt <[v,m,n,n,0,t,1,0,0,0,n],'aizvērt',''>
durvis <[n,c,f,p,a,6],'durvs',''>
aiz <[s,p,p,d,[y]],'aiz',''>
sevis <[p,x,0,0,0,g,[0]],'sevis',''>
. <[z,s],'.',''>
Minci <[n,c,m,v,2],'mincis',''>
, <,'',''>
minci <[n,c,m,v,2],'mincis',''>
, <,'',''>
minci <[n,c,m,v,2],'mincis',''>
! <,'',''>
Kad <[r,_,t],'kad',''>
Sofijas <[n,p,f,s,g,4],'sofija',''>
mamma <[n,c,f,s,n,4],'mamma',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
par <[s,p,s,a,[n]],'par',''>
kaut <[q,s],'kaut',''>
ko <[p,r,0,0,0,a,[0]],'kas',''>
saīgusi <[v,m,n,p,d,f,s,n,a,s,n],'saīgt',''>
, <[z,c],',',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
dažkārt <[r,_,t],'dažkārt',''>
mēdza <[v,o,n,i,s,t,1,3,0,a,n],'mēgt',''>
saukt <[v,m,n,n,0,t,1,0,0,0,n],'saukt',''>
māju <[n,c,f,s,a,4],'māja',''>
par <[s,p,s,a,[n]],'par',''>
zvērnīcu <[n,c,f,s,a,4],'zvērnīca',''>
. <[z,s],'.',''>
kurā <[p,r,0,f,s,l,[0]],'kura',''>
viņi <[p,p,3,m,p,n,[0]],'viņš',''>
visi <[p,g,0,m,p,n,[0]],'viss',''>
dzīvoja <[v,m,n,i,s,t,2,3,0,a,n],'dzīvot',''>
, <[z,c],',',''>
Zvērnīca <[n,c,f,s,n,4],'zvērnīca',''>
ir <[v,m,n,i,p,i,i,3,0,a,n],'būt',''>
vieta <[n,c,f,s,n,4],'vieta',''>
, <[z,c],',',''>
kurā <[p,r,0,f,s,l,[0]],'kura',''>
savākti <[v,m,n,p,d,m,p,n,p,s,n],'savākts',''>
dažādi <[a,_,m,p,n,n,p],'dažāds',''>
dzīvnieki <[n,c,m,p,n,1],'dzīvnieks',''>
, <[z,c],',',''>
un <[c,c,s],'un',''>
patiešām <[q,s],'patiešām',''>
— <[z,d],'—',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
gluži <[r,_,m],'gluži',''>
mierā <[n,c,m,s,l,1],'miers',''>
ar <[s,p,s,a,[n]],'ar',''>
savu <[p,s,0,m,s,a,[0]],'savs',''>
dzīvnieku <[n,c,m,p,g,1],'dzīvnieks',''>
kolekciju <[n,c,f,s,a,4],'kolekcija',''>
. <[z,s],'.',''>
Vispirms <[r,_,_],'vispirms',''>
viņai <[p,p,3,f,s,d,[0]],'viņa',''>
bija <[v,m,n,i,s,i,i,3,0,a,n],'būt',''>
trauks <[n,c,m,s,n,1],'trauks',''>
ar <[s,p,p,d,[n]],'ar',''>
zelta <[n,c,m,s,g,1],'zelts',''>
zivtiņām <[n,c,f,p,d,4],'zivtiņa',''>
Zeltīti <[v,m,n,p,d,m,p,n,p,s,n],'zeltīts',''>
, <[z,c],',',''>
Sarkangalvīti <[n,p,f,s,a,5],'sarkangalvīte',''>
un <[c,c,s],'un',''>
Melno <[a,f,m,s,a,y,p],'melns',''>
Pēteri <[n,p,m,p,n,2],'pēteris',''>
. <[z,s],'.',''>
Pēc <[s,p,p,d,[y]],'pēc',''>
tam <[p,d,0,m,s,d,[s]],'tas',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
savā <[p,s,0,m,s,l,[0]],'savs',''>
īpašumā <[n,c,m,s,l,1],'īpašums',''>
ieguva <[v,m,n,i,s,t,1,3,0,a,n],'iegūt',''>
pundurpapagailīšus <[n,c,m,p,a,2],'pundurpapagailītis',''>
vārdā <[n,c,m,s,l,1],'vārds',''>
Smits <[n,p,m,s,n,1],'smits',''>
un <[c,c,s],'un',''>
Smulē <[n,p,_,_,_,n],'smulē',''>
, <[z,c],',',''>
bruņurupuci <[n,c,m,s,a,2],'bruņurupucis',''>
Govindu <[n,p,m,s,a,1],'govinds',''>
un <[c,c,s],'un',''>
, <[z,c],',',''>
visbeidzot <[r,_,_],'visbeidzot',''>
, <[z,c],',',''>
dzeltenbrūno <[a,_,m,s,a,y,p],'dzeltenbrūns',''>
tīģerkaķi <[n,c,m,s,a,2],'tīģerkaķis',''>
Šerekānu <[n,p,m,s,a,1],'šerekāns',''>
. <[z,s],'.',''>
Visi <[p,g,0,m,p,n,[0]],'viss',''>
dzīvnieki <[n,c,m,p,n,1],'dzīvnieks',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
sava <[p,s,0,m,s,g,[0]],'savs',''>
veida <[n,c,m,s,g,1],'veids',''>
atlīdzība <[n,c,f,s,n,4],'atlīdzība',''>
par <[s,p,s,a,[n]],'par',''>
to <[p,d,3,f,s,a,[s]],'tā',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
māmiņa <[n,c,f,s,n,4],'māmiņa',''>
no <[s,p,s,g,[y]],'no',''>
darba <[n,c,m,s,g,1],'darbs',''>
nāca <[v,m,n,i,s,i,1,3,0,a,n],'nākt',''>
vēlu <[r,_,t],'vēlu',''>
un <[c,c,s],'un',''>
tētis <[n,c,m,s,n,2],'tētis',''>
tik <[r,_,_],'tik',''>
bieži <[r,_,q],'bieži',''>
un <[c,c,s],'un',''>
ilgi <[r,_,_],'ilgi',''>
kuģoja <[v,m,n,i,s,i,2,3,0,a,n],'kuģot',''>
pa <[s,p,s,a,[y]],'pa',''>
pasaules <[n,c,f,s,g,5],'pasaule',''>
jūrām <[n,c,f,p,d,4],'jūra',''>
tālu <[r,_,p],'tālu',''>
prom <[r,_,p],'prom',''>
no <[s,p,p,d,[y]],'no',''>
mājām <[n,c,f,p,d,4],'māja',''>
. <[z,s],'.',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
nometa <[v,m,n,i,s,t,1,3,0,a,n],'nomest',''>
skolas <[n,c,f,s,g,4],'skola',''>
mugursomu <[n,c,f,s,a,4],'mugursoma',''>
un <[c,c,s],'un',''>
nolika <[v,m,n,i,s,t,1,3,0,a,n],'nolikt',''>
Šerekānam <[n,p,m,s,d,1],'šerekāns',''>
priekšā <[r,_,p],'priekšā',''>
bļodiņu <[n,c,f,s,a,4],'bļodiņa',''>
ar <[s,p,s,a,[n]],'ar',''>
kaķa <[n,c,m,s,g,2],'kaķis',''>
ēdienu <[n,_,m,s,a,_],'ēdiens',''>
. <[z,s],'.',''>
Pēc <[s,p,p,d,[y]],'pēc',''>
tam <[p,d,0,m,s,d,[s]],'tas',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
nosēdās <[v,m,y,i,s,i,1,3,0,_,n],'nosēsties',''>
uz <[s,p,s,g,[y]],'uz',''>
virtuves <[n,c,f,s,g,5],'virtuve',''>
ķeblīša <[n,c,m,s,g,2],'ķeblītis',''>
, <[z,c],',',''>
turēdama <[v,m,n,p,p,f,s,n,a,p,0],'turēt',''>
noslēpumaino <[a,_,f,s,a,y,p],'noslēpumaina',''>
vēstuli <[n,c,f,s,a,5],'vēstule',''>
rokā <[n,c,f,s,l,4],'roka',''>
. <[z,s],'.',''>
Kas <[p,q,0,0,0,n,[0]],'kas',''>
tu <[p,p,2,0,s,n,[0]],'tu','teikuma priekšmets'>
esi <[v,m,n,i,p,i,i,2,s,a,n],'būt','izteicējs'>
? <[z,s],'?',''>
Vai <[q,s],'vai',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
to <[p,d,3,m,s,a,[s]],'tas',''>
maz <[q,s],'maz',''>
zina <[v,m,n,i,p,t,3,3,0,a,n],'zināt',''>
? <[z,s],'?',''>
Protams <[v,m,n,p,d,m,s,n,p,p,n],'prast',''>
, <[z,c],',',''>
viņa <[p,p,3,f,s,n,[0]],'viņa','teikuma priekšmets'>
nomināls_izteicējs <,'',''>
ir <[v,m,n,i,p,i,i,3,0,a,n],'būt',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
Amundsena <[n,p,f,s,n,4],'amundsena',''>
, <[z,c],',',''>
bet <[c,c,s],'bet',''>
kas <[p,q,0,0,0,n,[0]],'kas',''>
tā <[p,d,3,f,s,n,[s]],'tā',''>
tāda <[p,d,0,f,s,n,[a]],'tāda',''>
ir <[v,m,n,i,p,i,i,3,0,a,n],'būt',''>
? <[z,s],'?',''>
To <[p,d,3,m,s,a,[s]],'tas',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
līdz <[s,p,p,d,[y]],'līdz',''>
šim <[p,d,0,m,s,d,[s]],'šis',''>
nebija <[v,c,n,i,s,i,i,3,0,a,y],'nebūt',''>
īsti <[r,_,_],'īsti',''>
izdibinājusi <[v,m,n,p,d,f,s,n,a,s,n],'izdibināt',''>
. <[z,s],'.',''>
Kā <[r,_,m],'kā','veida apstāklis multi'>
būtu <[v,m,n,c,p,i,i,0,0,a,n],'būt',''>
, <[z,c],',',''>
ja <[c,s,s],'ja',''>
viņu <[p,p,3,f,s,a,[0]],'viņa',''>
sauktu <[v,m,n,c,0,t,1,0,0,a,n],'saukt',''>
kāda <[p,i,0,f,s,n,[0]],'kāda',''>
citā <[p,i,0,m,s,l,[0]],'cits',''>
vārdā <[n,c,m,s,l,1],'vārds',''>
? <[z,s],'?',''>
Piemēram <[n,c,m,s,d,1],'piemērs',''>
, <[z,c],',',''>
par <[s,p,s,a,[n]],'par',''>
Annu <[n,p,f,s,a,4],'anna',''>
Knutsenu <[n,p,f,s,a,4],'knutsena',''>
. <[z,s],'.',''>
Vai <[q,s],'vai',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
būtu <[v,m,n,c,p,i,i,0,0,a,n],'būt',''>
tādā <[p,d,0,m,s,l,[a]],'tāds',''>
gadījumā <[n,c,m,s,l,1],'gadījums',''>
cita <[p,i,0,f,s,n,[0]],'cita',''>
? <[z,s],'?',''>
Pēkšņi <[r,_,c],'pēkšņi','cēloņa apstāklis'>
viņai <[p,p,3,f,s,d,[0]],'viņa','netiešais papildinātājs multi'>
ienāca <[v,m,n,i,s,i,1,3,0,a,n],'ienākt',''>
prātā <[n,c,m,s,l,1],'prāts','laika apstāklis multi'>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
tētis <[n,c,m,s,n,2],'tētis',''>
sākumā <[n,c,m,s,l,1],'sākums','laika apstāklis multi'>
izteicējs <,'',''>
esot <[v,c,n,r,p,i,i,0,0,a,n],'būt',''>
vēlējies <[v,m,y,p,d,m,s,n,a,s,n],'vēlēties',''>
, <[z,c],',',''>
lai <[c,s,s],'lai',''>
viņu <[p,p,3,f,s,a,[0]],'viņa',''>
sauktu <[v,m,n,c,0,t,1,0,0,a,n],'saukt',''>
par <[s,p,s,a,[n]],'par',''>
